COCO Image,Match Image,Euclidean Loss
m_m_frisbee_227482.jpg,f_f_frisbee_291619_3.jpg,5.355805818
m_m_frisbee_88485.jpg,f_f_surfboard_54164_5.jpg,8.911226308
m_m_tie_152214.jpg,f_f_frisbee_291619_3.jpg,4.207335976
m_m_surfboard_115898.jpg,f_f_frisbee_291619_3.jpg,4.535594822
m_m_frisbee_328238.jpg,f_f_frisbee_291619_3.jpg,3.81528979
m_m_sports_135604.jpg,f_f_frisbee_291619_3.jpg,4.347188676
m_m_tie_170099.jpg,f_f_racket_64718_5.jpg,8.090460772
m_m_racket_88970.jpg,f_f_frisbee_227482_3.jpg,7.068817647
m_m_tie_21604.jpg,f_f_frisbee_325991_4.jpg,8.692908638
m_m_surfboard_32570.jpg,f_f_frisbee_291619_3.jpg,4.573581503
m_m_skateboard_13201.jpg,f_f_surfboard_7278_4.jpg,6.777636789
m_m_sports_429690.jpg,f_f_surfboard_7278_4.jpg,6.664925588
m_m_skateboard_125472.jpg,f_f_frisbee_291619_3.jpg,8.667346908
m_m_frisbee_127263.jpg,f_f_frisbee_291619_3.jpg,5.224373227
m_m_frisbee_291619.jpg,f_f_frisbee_291619_3.jpg,3.930711563
m_m_racket_85772.jpg,f_f_frisbee_291619_3.jpg,6.014170208
m_m_racket_127530.jpg,f_f_frisbee_88485_2.jpg,9.303723837
m_m_surfboard_190007.jpg,f_f_frisbee_291619_3.jpg,5.476665928
m_m_sports_33759.jpg,f_f_frisbee_291619_3.jpg,3.81771863
m_m_surfboard_51314.jpg,f_f_frisbee_291619_3.jpg,5.429713502
m_m_tie_163682.jpg,f_f_surfboard_7278_4.jpg,8.140132356
m_m_skateboard_157365.jpg,f_f_surfboard_115898_2.jpg,7.63679072
m_m_sports_515982.jpg,f_f_frisbee_291619_3.jpg,5.711040261
m_m_racket_19432.jpg,f_f_sports_89296_4.jpg,7.868720975
m_m_tie_131444.jpg,f_f_surfboard_7278_5.jpg,6.060103918
m_m_skateboard_31093.jpg,f_f_frisbee_291619_3.jpg,5.538286264
m_m_racket_55950.jpg,f_f_surfboard_32570_4.jpg,6.50151546
m_m_frisbee_325991.jpg,f_f_surfboard_115898_5.jpg,4.687309699
m_m_surfboard_187362.jpg,f_f_surfboard_7278_1.jpg,6.156320297
m_m_racket_64718.jpg,f_f_surfboard_177357_5.jpg,8.292104902
m_m_surfboard_177357.jpg,f_f_frisbee_291619_3.jpg,4.671458486
m_m_surfboard_7278.jpg,f_f_frisbee_291619_3.jpg,4.523351515
m_m_surfboard_4765.jpg,f_f_surfboard_32570_3.jpg,5.298750252
m_m_skateboard_128699.jpg,f_f_frisbee_291619_3.jpg,7.317917028
m_m_sports_89296.jpg,f_f_frisbee_291619_3.jpg,5.411190325
m_m_surfboard_54164.jpg,f_f_frisbee_291619_3.jpg,4.401603311
m_m_sports_371552.jpg,f_f_frisbee_291619_3.jpg,6.508944139
m_m_sports_192670.jpg,f_f_frisbee_291619_3.jpg,4.481793925
m_m_skateboard_72281.jpg,f_f_sports_429690_3.jpg,7.9202386
m_f_handbag_81594.jpg,f_m_toothbrush_324614_2.jpg,7.948254249
m_f_toothbrush_445999.jpg,f_m_toothbrush_324614_2.jpg,8.430091482
m_f_refrigerator_22705.jpg,f_m_refrigerator_456662_4.jpg,7.926020305
m_f_hairdrier_350002_2.jpg,f_m_toothbrush_324614_2.jpg,7.527886584
m_f_refrigerator_280930.jpg,f_m_toothbrush_324614_2.jpg,8.836787828
m_f_refrigerator_280918.jpg,f_m_toothbrush_324614_2.jpg,7.183701767
m_f_toothbrush_465179.jpg,f_m_toothbrush_324614_2.jpg,8.542238684
m_f_refrigerator_150417.jpg,f_m_toothbrush_324614_2.jpg,6.631587358
m_f_toothbrush_324614.jpg,f_m_toothbrush_324614_2.jpg,8.833849422
m_f_refrigerator_456662.jpg,f_m_toothbrush_465179_2.jpg,9.096732019
m_f_handbag_153529.jpg,f_m_toothbrush_324614_2.jpg,7.072015217
m_f_hairdrier_384136.jpg,f_m_toothbrush_324614_2.jpg,8.18673233
m_f_hairdrier_350002.jpg,f_m_toothbrush_324614_2.jpg,8.044023045
